Episode Title,Episode ID,Streams & Downloads,Publish Time (UTC),Rank,Episode URI
Dan Koe - How To Get Ahead Of 99% Of People in 2026,113266864,21806,"12/30/2025, 15:00:00",1,spotify:episode:5C6IjBT3Jn6HWNtJI2DeuX
George Heaton - The Clothing Brand That Should’ve Died But Became a Cult,111674097,18508,"11/25/2025, 14:59:29",2,spotify:episode:4ruDKbUac3vuzIjETqB8hL
Robert Greene - Ego Traps The Art of Control & How to Stay Irreplaceable,109501382,17209,"10/14/2025, 14:00:00",3,spotify:episode:0Wd5TuVOBl7PhDO09xZC5U
Caleb Ralston - Personal Branding Masterclass: From Beginner to Expert in 120 Minutes,105241391,9643,"7/10/2025, 14:00:00",4,spotify:episode:3rPi1SxrG8YLTzB14DEeNI
Oren John - The Most Valuable Marketing Conversation You’ll Watch in 2025,106950838,9234,"8/20/2025, 14:00:00",5,spotify:episode:0w6V1lpD0jbbUee7NX1GbO
Sahil Bloom - Why You're Playing The Wrong Game in Life,108041667,8685,"9/9/2025, 14:00:00",6,spotify:episode:3NPfAM3rat1IVrHeDlVAEM
Sean Frank - E-Commerce Masterclass: How to Build Scale & Win in 2026,112154699,8351,"12/5/2025, 15:00:00",7,spotify:episode:0cMlHVAOZLgl5Hzvy3weH8
Kallaway - The Most Valuable 3 Hours For Any Business Owner in 2026 (Content Masterclass),114720138,7268,"1/29/2026, 15:30:00",8,spotify:episode:2FkmpLjg0NIXTjn1Xyd7lT
Roberto Nickson - Why 99% of Creators Will Be Replaced by AI (And How to Be the 1%),108727653,6754,"9/25/2025, 14:00:00",9,spotify:episode:1XJffuMmwXNV49oDNdyEU9
Mark Manson - When Quitting Is the Smartest Business Move,112749084,6562,"12/17/2025, 15:00:00",10,spotify:episode:1pypPA8A5YWV0G9vspJaHH
Samir Chaudry - How To Actually Dominate YouTube in 2026,114183594,5431,"1/19/2026, 15:00:00",11,spotify:episode:5hOYNM7xp8ZBy4wX6E70Cz
Joel Kocher - This $200M CEO Discovered What Cardiologists Won't Tell You,110303092,4780,"10/29/2025, 14:00:00",12,spotify:episode:622cwNtFKS0mfTVncBBsEM
Nick Shackelford - The new formula to run Meta ads in 2025,104337630,4523,"6/19/2025, 14:00:00",13,spotify:episode:3K6qQlDR3mxZrt7F9PNDEk
Kent Yoshimura - The TikTok Strategy That’s Printing MILLIONS right now,103327804,3383,"6/5/2025, 14:00:00",14,spotify:episode:0Q75HkExSFJDNTtZJBMtkS
Brian Garofalow - The Systems Skullcandy’s CEO Uses (That Entrepreneurs Don’t),106236964,2727,"7/31/2025, 14:00:00",15,spotify:episode:2QEFCJBt6p5ucy7B5Nonqm
Dee Murthy - How a Podcast Host Raised $95M,97325469,2319,"1/21/2025, 15:00:00",16,spotify:episode:2qUaAEbfH7ZK8CdnhdTUhF
Simon Molnar - Why Stores Are Struggling — and How to Reinvent Them,111101504,2296,"11/18/2025, 15:00:00",17,spotify:episode:5TZvZphV65agWajwOQIH6p
Nate Checketts - $100M+ CEO Why More Effort Isn’t Always Better,101708051,2186,"4/25/2025, 14:00:00",18,spotify:episode:0UUCgqaQQntswxQIwEtTIg
Ryan Bartlett - How a Failed Poker Pro Built a $1 Billion Business,102656598,2099,"5/15/2025, 14:00:00",19,spotify:episode:4x8ZsBiRu2P3IEY4ZwHLec
Bill Shufelt - How to Build a $800M+ Non-Alcoholic Beer Brand,98017474,1637,"2/5/2025, 15:00:00",20,spotify:episode:5fV0aslRadzAyZhEtEs6rW
Oliver Zak - The $50M College Startup That Scored A Shark Tank Deal,99431083,1384,"3/6/2025, 15:00:00",21,spotify:episode:7IRlfmYcQrWDuqjJZtXbsI
Manny Lubin - How Slate Milk Raised $30M+ by Reinventing Protein Drinks for the Healthy Minded,98640236,1301,"2/19/2025, 15:00:00",22,spotify:episode:28G3Xxcn7ehpEX69tYxWV4
Jeff Byers - You’d Never Kill a $6M Product — And That’s the Problem,115370259,0,"2/17/2026, 15:00:00",23,spotify:episode:1pJxaFCwJF4F0zfzs3NkD1
