Date,Engaged views
2025-08-01,2501
2025-08-02,1686
2025-08-03,2123
2025-08-04,2735
2025-08-05,2745
2025-08-06,1734
2025-08-07,1821
2025-08-08,1486
2025-08-09,1253
2025-08-10,2426
2025-08-11,2826
2025-08-12,2320
2025-08-13,2948
2025-08-14,1402
2025-08-15,1048
2025-08-16,848
2025-08-17,836
2025-08-18,957
2025-08-19,1553
2025-08-20,8792
2025-08-21,10599
2025-08-22,5884
2025-08-23,4418
2025-08-24,4852
2025-08-25,5126
2025-08-26,6236
2025-08-27,5383
2025-08-28,4310
2025-08-29,3552
2025-08-30,2827
2025-08-31,2801
2025-09-01,3093
2025-09-02,2821
2025-09-03,1719
2025-09-04,1981
2025-09-05,1827
2025-09-06,1162
2025-09-07,1290
2025-09-08,1628
2025-09-09,2444
2025-09-10,1986
2025-09-11,2003
2025-09-12,1724
2025-09-13,1180
2025-09-14,1414
2025-09-15,1620
2025-09-16,1198
2025-09-17,1093
2025-09-18,803
2025-09-19,656
2025-09-20,633
2025-09-21,774
2025-09-22,863
2025-09-23,962
2025-09-24,907
2025-09-25,5282
2025-09-26,4039
2025-09-27,2040
2025-09-28,2362
2025-09-29,3279
2025-09-30,5335
2025-10-01,3803
2025-10-02,2591
2025-10-03,1722
2025-10-04,1300
2025-10-05,1526
2025-10-06,1660
2025-10-07,1579
2025-10-08,1791
2025-10-09,1067
2025-10-10,1278
2025-10-11,762
2025-10-12,759
2025-10-13,1045
2025-10-14,12969
2025-10-15,16413
2025-10-16,15184
2025-10-17,21865
2025-10-18,27732
2025-10-19,30104
2025-10-20,26222
2025-10-21,19064
2025-10-22,14835
2025-10-23,11133
2025-10-24,10036
2025-10-25,9316
2025-10-26,10581
2025-10-27,10565
2025-10-28,10009
2025-10-29,9264
2025-10-30,7678
2025-10-31,6564
2025-11-01,8131
2025-11-02,10801
2025-11-03,12482
2025-11-04,9582
2025-11-05,10067
2025-11-06,10080
2025-11-07,8948
2025-11-08,8802
2025-11-09,9277
2025-11-10,7919
2025-11-11,8135
2025-11-12,6361
2025-11-13,5733
2025-11-14,4800
2025-11-15,4691
2025-11-16,5193
2025-11-17,5850
2025-11-18,6362
2025-11-19,5809
2025-11-20,5319
2025-11-21,5135
2025-11-22,4271
2025-11-23,4436
2025-11-24,3978
2025-11-25,13482
2025-11-26,13963
2025-11-27,11062
2025-11-28,11417
2025-11-29,9653
2025-11-30,8068
2025-12-01,7203
2025-12-02,5841
2025-12-03,5420
2025-12-04,4174
2025-12-05,6492
2025-12-06,6284
2025-12-07,7535
2025-12-08,7882
2025-12-09,7352
2025-12-10,7258
2025-12-11,6694
2025-12-12,5159
2025-12-13,5041
2025-12-14,5177
2025-12-15,5049
2025-12-16,4752
2025-12-17,6378
2025-12-18,5832
2025-12-19,5844
2025-12-20,4560
2025-12-21,4124
2025-12-22,5156
2025-12-23,4586
2025-12-24,3872
2025-12-25,3382
2025-12-26,3296
2025-12-27,3603
2025-12-28,3847
2025-12-29,4943
2025-12-30,14662
2025-12-31,8670
2026-01-01,8332
2026-01-02,8043
2026-01-03,7093
2026-01-04,7364
2026-01-05,20980
2026-01-06,10715
2026-01-07,6227
2026-01-08,6549
2026-01-09,6759
2026-01-10,5770
2026-01-11,5980
2026-01-12,5200
2026-01-13,5480
2026-01-14,5121
2026-01-15,4681
2026-01-16,4521
2026-01-17,4040
2026-01-18,4480
2026-01-19,8622
2026-01-20,8742
2026-01-21,9239
2026-01-22,8448
2026-01-23,7826
2026-01-24,6517
2026-01-25,6848
2026-01-26,6526
2026-01-27,6612
2026-01-28,5925
2026-01-29,15708
2026-01-30,13910
2026-01-31,10408
2026-02-01,10464
2026-02-02,11947
2026-02-03,10897
2026-02-04,9774
2026-02-05,9525
2026-02-06,8081
2026-02-07,7713
2026-02-08,8106
2026-02-09,8334
2026-02-10,8141
2026-02-11,8085
